key,value,date
Grand Theft Auto V,0.43,2014-12-21
Grand Theft Auto V,0.41,2014-12-28
Grand Theft Auto V,0.27,2015-01-04
Grand Theft Auto V,0.26,2015-01-11
Grand Theft Auto V,0.23,2015-01-18
Grand Theft Auto V,0.23,2015-01-25
Grand Theft Auto V,0.2,2015-02-01
Grand Theft Auto V,0.19,2015-02-08
Grand Theft Auto V,0.22,2015-02-15
Grand Theft Auto V,0.2,2015-02-22
Grand Theft Auto V,0.19,2015-03-01
Grand Theft Auto V,0.34,2015-03-08
Grand Theft Auto V,0.27,2015-03-15
Grand Theft Auto V,0.23,2015-03-22
Grand Theft Auto V,0.25,2015-03-29
Grand Theft Auto V,0.26,2015-04-05
Grand Theft Auto V,0.43,2015-04-12
Grand Theft Auto V,0.33,2015-04-19
Grand Theft Auto V,0.27,2015-04-26
Grand Theft Auto V,0.27,2015-05-03
Grand Theft Auto V,0.23,2015-05-10
Grand Theft Auto V,0.21,2015-05-17
Grand Theft Auto V,0.24,2015-05-24
Grand Theft Auto V,0.2,2015-05-31
Grand Theft Auto V,0.23,2015-06-07
Grand Theft Auto V,0.19,2015-06-14
Grand Theft Auto V,0.19,2015-06-21
Grand Theft Auto V,0.17,2015-06-28
Grand Theft Auto V,0.21,2015-07-05
Grand Theft Auto V,0.18,2015-07-12
Grand Theft Auto V,0.2,2015-07-19
Grand Theft Auto V,0.19,2015-07-26
Grand Theft Auto V,0.18,2015-08-02
Grand Theft Auto V,0.19,2015-08-09
Grand Theft Auto V,0.19,2015-08-16
Grand Theft Auto V,0.18,2015-08-23
Grand Theft Auto V,0.17,2015-08-30
Grand Theft Auto V,0.15,2015-09-06
Grand Theft Auto V,0.18,2015-09-13
Grand Theft Auto V,0.15,2015-09-20
Grand Theft Auto V,0.13,2015-09-27
Grand Theft Auto V,0.13,2015-10-04
Grand Theft Auto V,0.14,2015-10-11
Grand Theft Auto V,0.19,2015-10-18
Grand Theft Auto V,0.2,2015-10-25
Grand Theft Auto V,0.15,2015-11-01
Grand Theft Auto V,0.13,2015-11-08
Grand Theft Auto V,0.12,2015-11-15
Grand Theft Auto V,0.12,2015-11-22
Grand Theft Auto V,0.13,2015-11-29
Grand Theft Auto V,0.14,2015-12-06
Grand Theft Auto V,0.21,2015-12-13
Grand Theft Auto V,0.26,2015-12-20
Grand Theft Auto V,0.26,2015-12-27
Grand Theft Auto V,0.18,2016-01-03
Grand Theft Auto V,0.17,2016-01-10
Grand Theft Auto V,0.16,2016-01-17
Grand Theft Auto V,0.17,2016-01-24
Grand Theft Auto V,0.16,2016-01-31
Grand Theft Auto V,0.16,2016-02-07
Grand Theft Auto V,0.18,2016-02-14
Grand Theft Auto V,0.13,2016-02-21
Grand Theft Auto V,0.13,2016-02-28
Grand Theft Auto V,0.12,2016-03-06
Grand Theft Auto V,0.12,2016-03-13
Grand Theft Auto V,0.14,2016-03-20
Grand Theft Auto V,0.17,2016-03-27
Grand Theft Auto V,0.16,2016-04-03
Grand Theft Auto V,0.13,2016-04-10
Grand Theft Auto V,0.11,2016-04-17
Grand Theft Auto V,0.11,2016-04-24
Grand Theft Auto V,0.12,2016-05-01
Grand Theft Auto V,0.1,2016-05-08
Grand Theft Auto V,0.11,2016-05-15
Grand Theft Auto V,0.11,2016-05-22
Grand Theft Auto V,0.16,2016-05-29
Grand Theft Auto V,0.18,2016-06-05
Grand Theft Auto V,0.14,2016-06-12
Grand Theft Auto V,0.14,2016-06-19
Grand Theft Auto V,0.14,2016-06-26
Grand Theft Auto V,0.14,2016-07-03
Grand Theft Auto V,0.14,2016-07-10
Grand Theft Auto V,0.13,2016-07-17
Grand Theft Auto V,0.14,2016-07-24
Grand Theft Auto V,0.14,2016-07-31
Grand Theft Auto V,0.12,2016-08-07
Grand Theft Auto V,0.12,2016-08-14
Grand Theft Auto V,0.13,2016-08-21
Grand Theft Auto V,0.14,2016-08-28
Grand Theft Auto V,0.11,2016-09-04
Grand Theft Auto V,0.11,2016-09-11
Grand Theft Auto V,0.11,2016-09-18
Grand Theft Auto V,0.1,2016-09-25
Grand Theft Auto V,0.13,2016-10-02
Grand Theft Auto V,0.12,2016-10-09
Grand Theft Auto V,0.12,2016-10-16
Grand Theft Auto V,0.14,2016-10-23
Grand Theft Auto V,0.11,2016-10-30
Grand Theft Auto V,0.11,2016-11-06
Grand Theft Auto V,0.11,2016-11-13
Grand Theft Auto V,0.12,2016-11-20
Grand Theft Auto V,0.12,2016-11-27
Grand Theft Auto V,0.12,2016-12-04
Grand Theft Auto V,0.17,2016-12-11
Grand Theft Auto V,0.21,2016-12-18
Grand Theft Auto V,0.24,2016-12-25
Grand Theft Auto V,0.19,2017-01-01
Grand Theft Auto V,0.15,2017-01-08
Grand Theft Auto V,0.15,2017-01-15
Grand Theft Auto V,0.15,2017-01-22
Grand Theft Auto V,0.14,2017-01-29
Grand Theft Auto V,0.14,2017-02-05
Grand Theft Auto V,0.16,2017-02-12
Grand Theft Auto V,0.14,2017-02-19
Grand Theft Auto V,0.13,2017-02-26
Grand Theft Auto V,0.12,2017-03-05
Grand Theft Auto V,0.12,2017-03-12
Grand Theft Auto V,0.11,2017-03-19
Grand Theft Auto V,0.11,2017-03-26
Grand Theft Auto V,0.12,2017-04-02
Grand Theft Auto V,0.13,2017-04-09
Grand Theft Auto V,0.13,2017-04-16
Grand Theft Auto V,0.11,2017-04-23
Grand Theft Auto V,0.12,2017-04-30
Grand Theft Auto V,0.11,2017-05-07
Grand Theft Auto V,0.1,2017-05-14
Grand Theft Auto V,0.09,2017-05-21
Grand Theft Auto V,0.13,2017-05-28
Grand Theft Auto V,0.11,2017-06-04
Grand Theft Auto V,0.15,2017-06-11
Grand Theft Auto V,0.13,2017-06-18
Grand Theft Auto V,0.13,2017-06-25
Grand Theft Auto V,0.12,2017-07-02
Grand Theft Auto V,0.12,2017-07-09
Grand Theft Auto V,0.11,2017-07-16
Grand Theft Auto V,0.13,2017-07-23
Grand Theft Auto V,0.13,2017-07-30
Grand Theft Auto V,0.12,2017-08-06
Grand Theft Auto V,0.12,2017-08-13
Grand Theft Auto V,0.13,2017-08-20
Grand Theft Auto V,0.15,2017-08-27
Grand Theft Auto V,0.12,2017-09-03
Grand Theft Auto V,0.1,2017-09-10
Grand Theft Auto V,0.09,2017-09-17
Grand Theft Auto V,0.09,2017-09-24
Grand Theft Auto V,0.09,2017-10-01
Grand Theft Auto V,0.08,2017-10-08
Grand Theft Auto V,0.09,2017-10-15
Grand Theft Auto V,0.11,2017-10-22
Grand Theft Auto V,0.09,2017-10-29
Grand Theft Auto V,0.08,2017-11-05
Grand Theft Auto V,0.08,2017-11-12
Grand Theft Auto V,0.08,2017-11-19
Grand Theft Auto V,0.09,2017-11-26
Grand Theft Auto V,0.09,2017-12-03
Grand Theft Auto V,0.15,2017-12-10
Grand Theft Auto V,0.18,2017-12-17
Grand Theft Auto V,0.2,2017-12-24
Grand Theft Auto V,0.16,2017-12-31
Grand Theft Auto V,0.12,2018-01-07
Grand Theft Auto V,0.11,2018-01-14
Grand Theft Auto V,0.1,2018-01-21
Grand Theft Auto V,0.09,2018-01-28
Grand Theft Auto V,0.08,2018-02-04
Grand Theft Auto V,0.1,2018-02-11
Grand Theft Auto V,0.09,2018-02-18
Grand Theft Auto V,0.09,2018-02-25
Grand Theft Auto V,0.08,2018-03-04
Grand Theft Auto V,0.08,2018-03-11
Grand Theft Auto V,0.08,2018-03-18
Grand Theft Auto V,0.08,2018-03-25
Grand Theft Auto V,0.09,2018-04-01
Grand Theft Auto V,0.08,2018-04-08
Grand Theft Auto V,0.06,2018-04-15
Grand Theft Auto V,0.06,2018-04-22
Grand Theft Auto V,0.06,2018-04-29
Grand Theft Auto V,0.06,2018-05-06
Grand Theft Auto V,0.07,2018-05-13
Grand Theft Auto V,0.07,2018-05-20
Grand Theft Auto V,0.08,2018-05-27
Grand Theft Auto V,0.06,2018-06-03
Grand Theft Auto V,0.06,2018-06-10
Grand Theft Auto V,0.06,2018-06-17
Grand Theft Auto V,0.07,2018-06-24
Grand Theft Auto V,0.07,2018-07-01
Grand Theft Auto V,0.07,2018-07-08
Grand Theft Auto V,0.08,2018-07-15
Grand Theft Auto V,0.12,2018-07-22
Grand Theft Auto V,0.12,2018-07-29
Grand Theft Auto V,0.11,2018-08-05
Grand Theft Auto V,0.11,2018-08-12
Grand Theft Auto V,0.1,2018-08-19
Grand Theft Auto V,0.1,2018-08-26
Grand Theft Auto V,0.08,2018-09-02
Grand Theft Auto V,0.07,2018-09-09
Grand Theft Auto V,0.07,2018-09-16
Grand Theft Auto V,0.06,2018-09-23
Grand Theft Auto V,0.06,2018-09-30
Grand Theft Auto V,0.06,2018-10-07
Grand Theft Auto V,0.06,2018-10-14
Grand Theft Auto V,0.07,2018-10-21
Grand Theft Auto V,0.06,2018-10-28
Grand Theft Auto V,0.05,2018-11-04
Grand Theft Auto V,0.05,2018-11-11
Grand Theft Auto V,0.05,2018-11-18
Grand Theft Auto V,0.06,2018-11-25
Grand Theft Auto V,0.06,2018-12-02
Grand Theft Auto V,0.06,2018-12-09
Grand Theft Auto V,0.06,2018-12-16
Grand Theft Auto V,0.1,2018-12-23
Grand Theft Auto V,0.09,2018-12-30
Grand Theft Auto V,0.06,2019-01-06
Grand Theft Auto V,0.05,2019-01-13
Grand Theft Auto V,0.06,2019-01-20
Grand Theft Auto V,0.06,2019-01-27
Grand Theft Auto V,0.06,2019-02-03
Grand Theft Auto V,0.06,2019-02-10
Grand Theft Auto V,0.06,2019-02-17
Grand Theft Auto V,0.06,2019-02-24
Grand Theft Auto V,0.06,2019-03-03
Grand Theft Auto V,0.06,2019-03-10
Grand Theft Auto V,0.06,2019-03-17
Grand Theft Auto V,0.05,2019-03-24
Grand Theft Auto V,0.06,2019-03-31
Grand Theft Auto V,0.06,2019-04-07
Grand Theft Auto V,0.07,2019-04-14
Grand Theft Auto V,0.06,2019-04-21
Grand Theft Auto V,0.06,2019-04-28
Grand Theft Auto V,0.07,2019-05-05
Grand Theft Auto V,0.06,2019-05-12
Grand Theft Auto V,0.06,2019-05-19
Grand Theft Auto V,0.07,2019-05-26
